[{:time-per-game 6013/5000,
 :xp-options
 {:seed 26,
  :nb-games 2048,
  :label-distr-fn "ansp",
  :player-opts
  {:computation-mode :cpu, :layer-dims (2048 2048), :batch-size 1}},
 :measures
 ({:score 100,
   :fruit-move-ratio 0.24096386,
   :wall-move-ratio 0.32277527,
   :fem2-ratio 0.4842474}
  {:score 88,
   :fruit-move-ratio 0.20902613,
   :wall-move-ratio 0.29980013,
   :fem2-ratio 0.4730337}
  {:score 92,
   :fruit-move-ratio 0.23958333,
   :wall-move-ratio 0.28988326,
   :fem2-ratio 0.48423707}
  {:score 98,
   :fruit-move-ratio 0.31012657,
   :wall-move-ratio 0.30515298,
   :fem2-ratio 0.45730826}
  {:score 102,
   :fruit-move-ratio 0.25888324,
   :wall-move-ratio 0.36282396,
   :fem2-ratio 0.54269975}
  {:score 95,
   :fruit-move-ratio 0.2294686,
   :wall-move-ratio 0.2577502,
   :fem2-ratio 0.5376623}
  {:score 103,
   :fruit-move-ratio 0.24939467,
   :wall-move-ratio 0.29891756,
   :fem2-ratio 0.511772}
  {:score 92,
   :fruit-move-ratio 0.25344354,
   :wall-move-ratio 0.2511759,
   :fem2-ratio 0.50840336}
  {:score 98,
   :fruit-move-ratio 0.25063938,
   :wall-move-ratio 0.23243712,
   :fem2-ratio 0.46826348}
  {:score 84,
   :fruit-move-ratio 0.23463687,
   :wall-move-ratio 0.22462203,
   :fem2-ratio 0.48974007}
  {:score 95,
   :fruit-move-ratio 0.26912183,
   :wall-move-ratio 0.19927971,
   :fem2-ratio 0.47446236}
  {:score 88,
   :fruit-move-ratio 0.27244583,
   :wall-move-ratio 0.23638232,
   :fem2-ratio 0.49615976}
  {:score 88,
   :fruit-move-ratio 0.24581006,
   :wall-move-ratio 0.19885278,
   :fem2-ratio 0.49930266}
  {:score 95,
   :fruit-move-ratio 0.2631579,
   :wall-move-ratio 0.25037482,
   :fem2-ratio 0.4622279}
  {:score 79,
   :fruit-move-ratio 0.2564935,
   :wall-move-ratio 0.18530351,
   :fem2-ratio 0.47826087}
  {:score 101,
   :fruit-move-ratio 0.30981594,
   :wall-move-ratio 0.22625215,
   :fem2-ratio 0.5506757}
  {:score 88,
   :fruit-move-ratio 0.2983051,
   :wall-move-ratio 0.1961165,
   :fem2-ratio 0.4462935}
  {:score 74,
   :fruit-move-ratio 0.23492064,
   :wall-move-ratio 0.1628692,
   :fem2-ratio 0.37951806}
  {:score 88,
   :fruit-move-ratio 0.252149,
   :wall-move-ratio 0.21440397,
   :fem2-ratio 0.44345617}
  {:score 85,
   :fruit-move-ratio 0.24926686,
   :wall-move-ratio 0.22473246,
   :fem2-ratio 0.42098767}
  {:score 83,
   :fruit-move-ratio 0.26688102,
   :wall-move-ratio 0.20906802,
   :fem2-ratio 0.43496504}
  {:score 95,
   :fruit-move-ratio 0.29595014,
   :wall-move-ratio 0.18290599,
   :fem2-ratio 0.60680526}
  {:score 98,
   :fruit-move-ratio 0.2942943,
   :wall-move-ratio 0.20899719,
   :fem2-ratio 0.48471615}
  {:score 62,
   :fruit-move-ratio 0.22627737,
   :wall-move-ratio 0.17348066,
   :fem2-ratio 0.44122383}
  {:score 82,
   :fruit-move-ratio 0.24698795,
   :wall-move-ratio 0.2279152,
   :fem2-ratio 0.49039882}
  {:score 89,
   :fruit-move-ratio 0.28525642,
   :wall-move-ratio 0.15128593,
   :fem2-ratio 0.44507846}
  {:score 99,
   :fruit-move-ratio 0.28862974,
   :wall-move-ratio 0.17926186,
   :fem2-ratio 0.50739646}
  {:score 83,
   :fruit-move-ratio 0.25382262,
   :wall-move-ratio 0.15711252,
   :fem2-ratio 0.53431374}
  {:score 85,
   :fruit-move-ratio 0.29929578,
   :wall-move-ratio 0.24123989,
   :fem2-ratio 0.42706767}
  {:score 99,
   :fruit-move-ratio 0.28695652,
   :wall-move-ratio 0.20979899,
   :fem2-ratio 0.49215406}
  {:score 90,
   :fruit-move-ratio 0.32846716,
   :wall-move-ratio 0.2295858,
   :fem2-ratio 0.49103943}
  {:score 100,
   :fruit-move-ratio 0.2739726,
   :wall-move-ratio 0.18410596,
   :fem2-ratio 0.44675642}
  {:score 96,
   :fruit-move-ratio 0.27586207,
   :wall-move-ratio 0.14983714,
   :fem2-ratio 0.45194805}
  {:score 72,
   :fruit-move-ratio 0.28015563,
   :wall-move-ratio 0.1497093,
   :fem2-ratio 0.45892859}
  {:score 80,
   :fruit-move-ratio 0.27874565,
   :wall-move-ratio 0.13547486,
   :fem2-ratio 0.4059406}
  {:score 96,
   :fruit-move-ratio 0.3018868,
   :wall-move-ratio 0.19713831,
   :fem2-ratio 0.46627566}
  {:score 65,
   :fruit-move-ratio 0.24904214,
   :wall-move-ratio 0.12702367,
   :fem2-ratio 0.39130434}
  {:score 84,
   :fruit-move-ratio 0.22702703,
   :wall-move-ratio 0.17653167,
   :fem2-ratio 0.47741935}
  {:score 82,
   :fruit-move-ratio 0.26623377,
   :wall-move-ratio 0.10716724,
   :fem2-ratio 0.4509517}
  {:score 60,
   :fruit-move-ratio 0.28301886,
   :wall-move-ratio 0.08438486,
   :fem2-ratio 0.37655416}
  {:score 66,
   :fruit-move-ratio 0.2972973,
   :wall-move-ratio 0.109550565,
   :fem2-ratio 0.4493927}
  {:score 97,
   :fruit-move-ratio 0.29393938,
   :wall-move-ratio 0.12086659,
   :fem2-ratio 0.46025103}
  {:score 67,
   :fruit-move-ratio 0.22866894,
   :wall-move-ratio 0.13667285,
   :fem2-ratio 0.33562428}
  {:score 63,
   :fruit-move-ratio 0.21428572,
   :wall-move-ratio 0.069603525,
   :fem2-ratio 0.40947077}
  {:score 98,
   :fruit-move-ratio 0.26344085,
